Quality	Count	Library
33	1919.0	FJVN118_R2_rmphix_fastqc
34	75467.0	FJVN118_R2_rmphix_fastqc
35	1508128.0	FJVN118_R2_rmphix_fastqc
36	2.0428657E7	FJVN118_R2_rmphix_fastqc
37	3460727.0	FJVN118_R2_rmphix_fastqc
32	17.0	FJVN67_R1_rmphix_fastqc
33	3086.0	FJVN67_R1_rmphix_fastqc
34	98920.0	FJVN67_R1_rmphix_fastqc
35	1448736.0	FJVN67_R1_rmphix_fastqc
36	2.0577762E7	FJVN67_R1_rmphix_fastqc
37	4072463.0	FJVN67_R1_rmphix_fastqc
32	13.0	FJVN67_R2_rmphix_fastqc
33	2317.0	FJVN67_R2_rmphix_fastqc
34	91236.0	FJVN67_R2_rmphix_fastqc
35	1795292.0	FJVN67_R2_rmphix_fastqc
36	2.125534E7	FJVN67_R2_rmphix_fastqc
37	3056786.0	FJVN67_R2_rmphix_fastqc
32	22.0	FJVN68_R1_rmphix_fastqc
33	3575.0	FJVN68_R1_rmphix_fastqc
34	109047.0	FJVN68_R1_rmphix_fastqc
35	1530762.0	FJVN68_R1_rmphix_fastqc
36	2.0369715E7	FJVN68_R1_rmphix_fastqc
37	3995308.0	FJVN68_R1_rmphix_fastqc
32	7.0	FJVN68_R2_rmphix_fastqc
33	1760.0	FJVN68_R2_rmphix_fastqc
34	71132.0	FJVN68_R2_rmphix_fastqc
35	1484792.0	FJVN68_R2_rmphix_fastqc
36	2.0923608E7	FJVN68_R2_rmphix_fastqc
37	3527130.0	FJVN68_R2_rmphix_fastqc
32	18.0	FJVN69_R1_rmphix_fastqc
33	2971.0	FJVN69_R1_rmphix_fastqc
34	95561.0	FJVN69_R1_rmphix_fastqc
35	1388271.0	FJVN69_R1_rmphix_fastqc
36	1.9629176E7	FJVN69_R1_rmphix_fastqc
37	4222273.0	FJVN69_R1_rmphix_fastqc
31	1.0	FJVN69_R2_rmphix_fastqc
32	13.0	FJVN69_R2_rmphix_fastqc
33	2004.0	FJVN69_R2_rmphix_fastqc
34	78680.0	FJVN69_R2_rmphix_fastqc
35	1564900.0	FJVN69_R2_rmphix_fastqc
36	2.0363218E7	FJVN69_R2_rmphix_fastqc
37	3329454.0	FJVN69_R2_rmphix_fastqc
