Duplication_Level	Percentage_of_deduplicated	Percentage_of_total	Library
>100	0.0	0.0	FJVN102_R1_rmphix_fastqc
>500	0.0	0.0	FJVN102_R1_rmphix_fastqc
>1k	0.0	0.0	FJVN102_R1_rmphix_fastqc
>5k	0.0	0.0	FJVN102_R1_rmphix_fastqc
>10k+	0.0	0.0	FJVN102_R1_rmphix_fastqc
1	94.28765954039424	88.88124954894596	FJVN102_R2_rmphix_fastqc
2	5.391250011869742	10.164236550605313	FJVN102_R2_rmphix_fastqc
3	0.3057996407852699	0.8647957002147035	FJVN102_R2_rmphix_fastqc
4	0.013860897652407042	0.05226448123630404	FJVN102_R2_rmphix_fastqc
5	0.001068180288177384	0.005034656667667356	FJVN102_R2_rmphix_fastqc
6	1.7835667780725687E-4	0.0010087787394139065	FJVN102_R2_rmphix_fastqc
7	0.0	0.0	FJVN102_R2_rmphix_fastqc
8	0.0	0.0	FJVN102_R2_rmphix_fastqc
9	0.0	0.0	FJVN102_R2_rmphix_fastqc
>10	5.767549295540379E-5	0.0010329997397018793	FJVN102_R2_rmphix_fastqc
>50	1.0453624027303217E-4	0.006815639528603561	FJVN102_R2_rmphix_fastqc
>100	1.7267260472382306E-5	0.0026531048166284817	FJVN102_R2_rmphix_fastqc
>500	0.0	0.0	FJVN102_R2_rmphix_fastqc
>1k	0.0	0.0	FJVN102_R2_rmphix_fastqc
>5k	3.893338660413726E-6	0.020908539505666294	FJVN102_R2_rmphix_fastqc
>10k+	0.0	0.0	FJVN102_R2_rmphix_fastqc
1	94.21298749611252	88.73020731043788	FJVN103_R1_rmphix_fastqc
2	5.4388436422760735	10.244653879129478	FJVN103_R1_rmphix_fastqc
3	0.3242003246593427	0.9159998886030991	FJVN103_R1_rmphix_fastqc
4	0.018408275635413744	0.06934798085774922	FJVN103_R1_rmphix_fastqc
5	0.002351832195505215	0.011074829692411074	FJVN103_R1_rmphix_fastqc
6	0.0010708850277996618	0.006051385464847645	FJVN103_R1_rmphix_fastqc
7	7.662554243263874E-4	0.005051639176522594	FJVN103_R1_rmphix_fastqc
8	5.373161665271538E-4	0.004048373891055847	FJVN103_R1_rmphix_fastqc
9	1.1961213830630053E-4	0.0010138611564865906	FJVN103_R1_rmphix_fastqc
>10	6.744276253638008E-4	0.010341114945548423	FJVN103_R1_rmphix_fastqc
>50	3.993273883822997E-5	0.0022097366449351104	FJVN103_R1_rmphix_fastqc
>100	0.0	0.0	FJVN103_R1_rmphix_fastqc
>500	0.0	0.0	FJVN103_R1_rmphix_fastqc
>1k	0.0	0.0	FJVN103_R1_rmphix_fastqc
>5k	0.0	0.0	FJVN103_R1_rmphix_fastqc
>10k+	0.0	0.0	FJVN103_R1_rmphix_fastqc
1	94.0974371277598	88.49434633194036	FJVN103_R2_rmphix_fastqc
2	5.546899315539801	10.433211447221662	FJVN103_R2_rmphix_fastqc
3	0.3285235556819341	0.9268842447402066	FJVN103_R2_rmphix_fastqc
4	0.021102990786605248	0.07938559996162359	FJVN103_R2_rmphix_fastqc
5	0.0029970611597879885	0.014092996384810217	FJVN103_R2_rmphix_fastqc
6	5.361271450493603E-4	0.0030252187115916217	FJVN103_R2_rmphix_fastqc
7	7.672369828325657E-4	0.0050508596349644426	FJVN103_R2_rmphix_fastqc
8	1.3450143040011044E-4	0.0010119396682660416	FJVN103_R2_rmphix_fastqc
9	4.7906368523077355E-4	0.004054837843933671	FJVN103_R2_rmphix_fastqc
>10	9.749172011841377E-4	0.012369962315990067	FJVN103_R2_rmphix_fastqc
>50	1.2000147864255221E-4	0.007936216286439757	FJVN103_R2_rmphix_fastqc
>100	2.4374500718446165E-5	0.0023823593320034036	FJVN103_R2_rmphix_fastqc
>500	0.0	0.0	FJVN103_R2_rmphix_fastqc
>1k	3.726648031139534E-6	0.016247985958147013	FJVN103_R2_rmphix_fastqc
>5k	0.0	0.0	FJVN103_R2_rmphix_fastqc
>10k+	0.0	0.0	FJVN103_R2_rmphix_fastqc
1	93.41702666432666	87.19825589299354	FJVN104_R1_rmphix_fastqc
2	6.121050721445358	11.42714484074684	FJVN104_R1_rmphix_fastqc
3	0.41898220123859203	1.1732716776404524	FJVN104_R1_rmphix_fastqc
4	0.03124320711419287	0.11665338819444744	FJVN104_R1_rmphix_fastqc
5	0.0043178975076988224	0.020152275513379236	FJVN104_R1_rmphix_fastqc
6	0.0018026659348122438	0.010095974861509907	FJVN104_R1_rmphix_fastqc
7	0.001703000390599716	0.011127421670707342	FJVN104_R1_rmphix_fastqc
8	0.0010858582580811499	0.008108581455233823	FJVN104_R1_rmphix_fastqc
9	7.253278474608682E-4	0.006093385002374886	FJVN104_R1_rmphix_fastqc
>10	0.002048844650534459	0.027902274738793663	FJVN104_R1_rmphix_fastqc
