Length	Count	Library
125-129	235125.0	FJVN102_R1_rmphix_fastqc
130-134	235900.0	FJVN102_R1_rmphix_fastqc
135-139	233850.0	FJVN102_R1_rmphix_fastqc
140-144	258593.0	FJVN102_R1_rmphix_fastqc
145-149	324996.0	FJVN102_R1_rmphix_fastqc
150-152	2.4024357E7	FJVN102_R1_rmphix_fastqc
50-54	244502.0	FJVN102_R2_rmphix_fastqc
55-59	245838.0	FJVN102_R2_rmphix_fastqc
60-64	235072.0	FJVN102_R2_rmphix_fastqc
65-69	254823.0	FJVN102_R2_rmphix_fastqc
70-74	244226.0	FJVN102_R2_rmphix_fastqc
75-79	244948.0	FJVN102_R2_rmphix_fastqc
80-84	242057.0	FJVN102_R2_rmphix_fastqc
85-89	237838.0	FJVN102_R2_rmphix_fastqc
90-94	239553.0	FJVN102_R2_rmphix_fastqc
95-99	238354.0	FJVN102_R2_rmphix_fastqc
100-104	241826.0	FJVN102_R2_rmphix_fastqc
105-109	243629.0	FJVN102_R2_rmphix_fastqc
110-114	247103.0	FJVN102_R2_rmphix_fastqc
115-119	252000.0	FJVN102_R2_rmphix_fastqc
120-124	257782.0	FJVN102_R2_rmphix_fastqc
125-129	266472.0	FJVN102_R2_rmphix_fastqc
130-134	273098.0	FJVN102_R2_rmphix_fastqc
135-139	292329.0	FJVN102_R2_rmphix_fastqc
140-144	296255.0	FJVN102_R2_rmphix_fastqc
145-149	346903.0	FJVN102_R2_rmphix_fastqc
150-152	2.3521432E7	FJVN102_R2_rmphix_fastqc
50-54	283810.0	FJVN103_R1_rmphix_fastqc
55-59	260919.0	FJVN103_R1_rmphix_fastqc
60-64	251609.0	FJVN103_R1_rmphix_fastqc
65-69	243766.0	FJVN103_R1_rmphix_fastqc
70-74	241228.0	FJVN103_R1_rmphix_fastqc
75-79	230364.0	FJVN103_R1_rmphix_fastqc
80-84	225898.0	FJVN103_R1_rmphix_fastqc
85-89	220636.0	FJVN103_R1_rmphix_fastqc
90-94	220404.0	FJVN103_R1_rmphix_fastqc
95-99	228399.0	FJVN103_R1_rmphix_fastqc
100-104	247094.0	FJVN103_R1_rmphix_fastqc
105-109	243098.0	FJVN103_R1_rmphix_fastqc
110-114	236675.0	FJVN103_R1_rmphix_fastqc
115-119	237818.0	FJVN103_R1_rmphix_fastqc
120-124	256590.0	FJVN103_R1_rmphix_fastqc
125-129	260256.0	FJVN103_R1_rmphix_fastqc
130-134	261217.0	FJVN103_R1_rmphix_fastqc
135-139	259709.0	FJVN103_R1_rmphix_fastqc
140-144	286637.0	FJVN103_R1_rmphix_fastqc
145-149	358979.0	FJVN103_R1_rmphix_fastqc
150-152	2.5020349E7	FJVN103_R1_rmphix_fastqc
50-54	241624.0	FJVN103_R2_rmphix_fastqc
55-59	241476.0	FJVN103_R2_rmphix_fastqc
60-64	231960.0	FJVN103_R2_rmphix_fastqc
65-69	254130.0	FJVN103_R2_rmphix_fastqc
70-74	245570.0	FJVN103_R2_rmphix_fastqc
75-79	248425.0	FJVN103_R2_rmphix_fastqc
80-84	245359.0	FJVN103_R2_rmphix_fastqc
85-89	241606.0	FJVN103_R2_rmphix_fastqc
90-94	243679.0	FJVN103_R2_rmphix_fastqc
95-99	246028.0	FJVN103_R2_rmphix_fastqc
100-104	247889.0	FJVN103_R2_rmphix_fastqc
105-109	251407.0	FJVN103_R2_rmphix_fastqc
110-114	255647.0	FJVN103_R2_rmphix_fastqc
115-119	263704.0	FJVN103_R2_rmphix_fastqc
120-124	270413.0	FJVN103_R2_rmphix_fastqc
125-129	282043.0	FJVN103_R2_rmphix_fastqc
130-134	290648.0	FJVN103_R2_rmphix_fastqc
135-139	311638.0	FJVN103_R2_rmphix_fastqc
140-144	317985.0	FJVN103_R2_rmphix_fastqc
145-149	373903.0	FJVN103_R2_rmphix_fastqc
150-152	2.4770321E7	FJVN103_R2_rmphix_fastqc
50-54	254552.0	FJVN104_R1_rmphix_fastqc
55-59	234297.0	FJVN104_R1_rmphix_fastqc
60-64	225453.0	FJVN104_R1_rmphix_fastqc
65-69	217186.0	FJVN104_R1_rmphix_fastqc
70-74	216219.0	FJVN104_R1_rmphix_fastqc
75-79	205597.0	FJVN104_R1_rmphix_fastqc
80-84	202442.0	FJVN104_R1_rmphix_fastqc
85-89	197552.0	FJVN104_R1_rmphix_fastqc
90-94	197256.0	FJVN104_R1_rmphix_fastqc
95-99	203819.0	FJVN104_R1_rmphix_fastqc
100-104	220021.0	FJVN104_R1_rmphix_fastqc
105-109	216368.0	FJVN104_R1_rmphix_fastqc
110-114	210062.0	FJVN104_R1_rmphix_fastqc
115-119	211184.0	FJVN104_R1_rmphix_fastqc
120-124	226234.0	FJVN104_R1_rmphix_fastqc
125-129	230185.0	FJVN104_R1_rmphix_fastqc
130-134	230316.0	FJVN104_R1_rmphix_fastqc
135-139	228863.0	FJVN104_R1_rmphix_fastqc
140-144	251651.0	FJVN104_R1_rmphix_fastqc
145-149	318647.0	FJVN104_R1_rmphix_fastqc
150-152	2.2403107E7	FJVN104_R1_rmphix_fastqc
50-54	205055.0	FJVN104_R2_rmphix_fastqc
55-59	206199.0	FJVN104_R2_rmphix_fastqc
60-64	197452.0	FJVN104_R2_rmphix_fastqc
65-69	217014.0	FJVN104_R2_rmphix_fastqc
70-74	208738.0	FJVN104_R2_rmphix_fastqc
75-79	210549.0	FJVN104_R2_rmphix_fastqc
80-84	207278.0	FJVN104_R2_rmphix_fastqc
85-89	206502.0	FJVN104_R2_rmphix_fastqc
90-94	208561.0	FJVN104_R2_rmphix_fastqc
95-99	209023.0	FJVN104_R2_rmphix_fastqc
100-104	211887.0	FJVN104_R2_rmphix_fastqc
105-109	214931.0	FJVN104_R2_rmphix_fastqc
110-114	218134.0	FJVN104_R2_rmphix_fastqc
115-119	224971.0	FJVN104_R2_rmphix_fastqc
120-124	231904.0	FJVN104_R2_rmphix_fastqc
125-129	240020.0	FJVN104_R2_rmphix_fastqc
130-134	247988.0	FJVN104_R2_rmphix_fastqc
135-139	266102.0	FJVN104_R2_rmphix_fastqc
140-144	271244.0	FJVN104_R2_rmphix_fastqc
145-149	320848.0	FJVN104_R2_rmphix_fastqc
150-152	2.2376611E7	FJVN104_R2_rmphix_fastqc
50-54	243672.0	FJVN115_R1_rmphix_fastqc
55-59	224853.0	FJVN115_R1_rmphix_fastqc
60-64	215512.0	FJVN115_R1_rmphix_fastqc
