GC_Content	Count	Library
6	242.0	FJVN100_R2_rmphix_fastqc
7	301.0	FJVN100_R2_rmphix_fastqc
8	362.0	FJVN100_R2_rmphix_fastqc
9	450.5	FJVN100_R2_rmphix_fastqc
10	599.5	FJVN100_R2_rmphix_fastqc
11	765.0	FJVN100_R2_rmphix_fastqc
12	900.5	FJVN100_R2_rmphix_fastqc
13	1109.5	FJVN100_R2_rmphix_fastqc
14	1395.0	FJVN100_R2_rmphix_fastqc
15	1690.5	FJVN100_R2_rmphix_fastqc
16	2063.0	FJVN100_R2_rmphix_fastqc
17	2548.5	FJVN100_R2_rmphix_fastqc
18	3164.5	FJVN100_R2_rmphix_fastqc
19	3949.5	FJVN100_R2_rmphix_fastqc
20	4943.5	FJVN100_R2_rmphix_fastqc
21	6123.5	FJVN100_R2_rmphix_fastqc
22	7545.5	FJVN100_R2_rmphix_fastqc
23	9244.5	FJVN100_R2_rmphix_fastqc
24	11075.5	FJVN100_R2_rmphix_fastqc
25	13181.0	FJVN100_R2_rmphix_fastqc
26	15889.0	FJVN100_R2_rmphix_fastqc
27	19043.5	FJVN100_R2_rmphix_fastqc
28	22243.0	FJVN100_R2_rmphix_fastqc
29	25831.0	FJVN100_R2_rmphix_fastqc
30	29677.0	FJVN100_R2_rmphix_fastqc
31	34032.0	FJVN100_R2_rmphix_fastqc
32	39056.5	FJVN100_R2_rmphix_fastqc
33	43768.0	FJVN100_R2_rmphix_fastqc
34	48884.0	FJVN100_R2_rmphix_fastqc
35	54639.0	FJVN100_R2_rmphix_fastqc
36	60670.5	FJVN100_R2_rmphix_fastqc
37	67032.0	FJVN100_R2_rmphix_fastqc
38	73290.5	FJVN100_R2_rmphix_fastqc
39	80668.0	FJVN100_R2_rmphix_fastqc
40	88948.0	FJVN100_R2_rmphix_fastqc
41	97720.5	FJVN100_R2_rmphix_fastqc
42	107561.0	FJVN100_R2_rmphix_fastqc
43	117958.0	FJVN100_R2_rmphix_fastqc
44	129695.0	FJVN100_R2_rmphix_fastqc
45	143336.5	FJVN100_R2_rmphix_fastqc
46	158747.0	FJVN100_R2_rmphix_fastqc
47	176075.5	FJVN100_R2_rmphix_fastqc
48	196105.0	FJVN100_R2_rmphix_fastqc
49	219248.5	FJVN100_R2_rmphix_fastqc
50	245536.5	FJVN100_R2_rmphix_fastqc
51	275417.5	FJVN100_R2_rmphix_fastqc
52	309569.0	FJVN100_R2_rmphix_fastqc
53	349594.5	FJVN100_R2_rmphix_fastqc
54	394266.0	FJVN100_R2_rmphix_fastqc
55	443973.0	FJVN100_R2_rmphix_fastqc
56	498991.0	FJVN100_R2_rmphix_fastqc
57	561976.5	FJVN100_R2_rmphix_fastqc
58	632990.5	FJVN100_R2_rmphix_fastqc
59	709716.0	FJVN100_R2_rmphix_fastqc
60	792198.0	FJVN100_R2_rmphix_fastqc
61	880357.5	FJVN100_R2_rmphix_fastqc
62	972397.0	FJVN100_R2_rmphix_fastqc
63	1065753.5	FJVN100_R2_rmphix_fastqc
64	1157489.5	FJVN100_R2_rmphix_fastqc
65	1242058.5	FJVN100_R2_rmphix_fastqc
66	1314524.5	FJVN100_R2_rmphix_fastqc
67	1367865.0	FJVN100_R2_rmphix_fastqc
68	1395602.0	FJVN100_R2_rmphix_fastqc
69	1394792.0	FJVN100_R2_rmphix_fastqc
70	1361019.0	FJVN100_R2_rmphix_fastqc
