SampleID2	SampleID	Ward_Batch	pH_Soil	pH_Buffer	Soluble_Salts	Lime	Texture	OM	Nitrate	lbs	Phosphorus	Potassium	Sulfate	Zinc	Iron	Manganese	Copper	Calcium	Magnesium	Sodium	CEC	H_Sat	K_Sat	Ca_Sat	Mg_Sat	Na_Sat	Set
JEP198	JEP198	C	5.5	6.3	0.32	NONE	2	3.5	0.9	2	16.1	208	29	1.57	137.3	27.3	2.03	342	417	306	13.6	48	4	12	26	10	Temporal
JEP199	JEP199	C	5.2	6.3	0.14	NONE	2	3.9	0.1	0	12.5	132	8.8	1.74	155.4	41.3	2.02	614	212	82	12.9	57	3	23	14	3	Temporal
JEP200	JEP200	C	5.2	6.1	0.19	NONE	2	4.2	0.6	1	15.5	150	12.6	1.99	204.7	34	2.31	359	322	183	14.5	61	3	12	19	5	Temporal
JEP201	JEP201	C	5	6.3	0.22	NONE	2	3.8	19.4	35	10.5	150	9.4	2.47	124.2	16.9	1.6	552	148	70	12.2	62	3	22	10	3	Temporal
JEP202	JEP202	C	5.3	6.2	0.15	NONE	2	3.1	1.7	3	12.7	167	11.4	2.26	194.7	37.6	1.95	378	219	162	12.7	62	3	15	14	6	Temporal
JEP203	JEP203	C	4.8	6.1	0.15	NONE	2	3.4	15.7	28	12.7	107	15.4	1.53	143.3	15.3	1.59	382	174	83	12.6	68	2	15	12	3	Temporal
JEP204	JEP204	C	6.1	6.5	0.08	NONE	2	3.3	4	7	13.4	169	8.3	0.84	303.3	116.7	1.89	286	198	169	9.5	56	5	14	17	8	Temporal
JEP205	JEP205	C	5.1	6.2	0.2	NONE	2	4.8	18.9	34	15.4	197	11.6	2.96	167.7	19.5	1.75	819	269	58	15.3	54	3	26	15	2	Temporal
JEP206	JEP206	C	5.8	6.2	0.24	NONE	2	5	8.8	16	42.2	208	20.6	1.97	326.9	86	2.37	391	514	344	16.1	49	3	12	27	9	Temporal
JEP207	JEP207	C	5.2	6.2	0.13	NONE	2	3.6	7	13	11.7	111	10	1.77	151.7	17.4	1.83	597	219	93	13.4	59	2	22	14	3	Temporal
